,etf动量改,中证1000增强,中证2000增强,中证800增强,养殖etf增强,军工etf增强,创业板增强,动量趋势策略,化工ETF优选策略,医疗etf增强,半导体优选策略,双创50增强,国企etf增强,均衡持仓,形态识别,成长红利量化选股,房地产etf增强,旅游etf增强,机器人ETF优选策略,杠铃,沪深300增强策略,游戏etf增强,煤炭周期优选动态轮动策略,申万动量,科创参数加强板,综合全,综合拆分1,综合拆分2,行业etf增强,计算机ETF优选策略,通信etf增强,酒etf增强,锤子策略,食品etf增强
Account_A,-0.16463826578090238,-0.24230833500650487,-0.2378848813277871,-0.09464038121233008,-0.10341858797682442,-0.12048468235216771,-0.29784343410890013,-0.1430974057663247,0.1248950886298956,-0.15934888177340767,-0.011837879805418295,-0.15519137718452944,0.16214948176254054,-0.007324698506931098,-0.06895431285632632,0.2255873183642758,0.04640473585864904,0.07908631536256659,-0.11407566989714209,0.26438923700228295,0.22524194325153069,-0.10637655396461261,0.2861141276095922,0.02374255304186106,-0.2372542647380054,-0.24527532320622883,-0.21526846815786654,-0.18350881953869647,-0.15435643565740434,-0.029566469726334674,-0.16221968728740305,-0.14847509609979317,0.026696391473841306,-0.0061670328839443156
Account_B,0.23050453799869006,0.21614687736386096,0.06272949740572441,-0.05573986847627471,-0.12726433189121808,-0.03344056444338448,-0.15548545452891413,0.35655655949725923,-0.01936515259673965,-0.1260369781447111,-0.23916664890301215,-0.2128510209764447,0.008180794923302693,-0.0918160739439387,-0.05516888588102469,-0.225038291202019,-0.11550045961088867,-0.1023065826064106,-0.11868459940621257,-0.053309902577155795,0.3248657846146319,-0.0981685358638608,-0.18696498895515892,0.02096650448890441,-0.19716276391739435,0.35842581405043134,0.3003923553371587,0.2822508493209938,0.3955726105841043,-0.13205563201366902,-0.10970576378085825,-0.09545690509419515,-0.03768056687078103,-0.1818256471844184
Account_C,0.2732117337951642,0.33680528167637475,0.005009542225418301,-0.06414025194428027,-0.02999169814559704,-0.1572407712021329,-0.0016891515535469026,0.05502303005615901,0.25197081518084447,-0.1336317554508465,-0.08074762130866753,-0.11408054904988815,-0.19516247256370126,0.031551552675018815,-0.10663607222690334,-0.2813176740174994,-0.10650023284830495,-0.1364642893103783,-0.06427558533108449,-0.14405273427937804,0.07507736033121704,-0.030927418345059285,-0.1687385124673143,-0.11661657836588965,-0.13959291107121863,0.25788615061228254,0.24004228617145226,0.202898295777069,0.20342467361796712,-0.10425245790703722,-0.13048462277201306,-0.08064541349544967,0.02205437914972029,-0.06863025827968643
