,etf动量改,中证1000增强,中证2000增强,中证800增强,养殖etf增强,军工etf增强,创业板增强,动量趋势策略,化工ETF优选策略,医疗etf增强,半导体优选策略,双创50增强,国企etf增强,均衡持仓,形态识别,成长红利量化选股,房地产etf增强,旅游etf增强,机器人ETF优选策略,杠铃,沪深300增强策略,游戏etf增强,煤炭周期优选动态轮动策略,申万动量,科创参数加强板,综合全,综合拆分1,综合拆分2,行业etf增强,计算机ETF优选策略,通信etf增强,酒etf增强,锤子策略,食品etf增强
Account_A,-0.61238176,-0.6904436,0.18157017,-0.37690112,-0.015539689,-0.6100005,-0.13862735,-0.63661844,0.9860734,-0.023812473,-0.57034457,-0.5956749,0.7169492,0.96156406,0.5839622,0.9792377,0.8809204,0.32078707,0.26159108,0.95038414,0.23365508,0.22080871,0.9965416,0.8221123,-0.5733925,-0.6000628,-0.6045737,-0.6019174,-0.5512858,-0.43386045,-0.09200942,0.9913168,0.40029106,0.99028623
Account_B,0.9600286,0.7053508,-0.4191452,0.0590935,-0.30058792,0.9985122,-0.205891,0.974517,-0.57751465,-0.2925011,0.63343185,0.32502198,-0.49274826,-0.56307065,-0.32673582,-0.5654392,-0.4561404,-0.541741,-0.51198995,-0.52977246,0.32471898,-0.4642627,-0.61381406,-0.5814501,0.5895,0.9476626,0.9566128,0.9506617,0.96432304,0.27343556,-0.25042194,-0.56771016,-0.16428043,-0.5641641
Account_C,0.8003643,0.870493,-0.5101682,-0.45419103,-0.80973864,0.6802046,-0.7023488,0.79056215,-0.44340116,-0.8031305,0.03095917,-0.27755216,-0.109227605,-0.23625846,0.2185832,-0.26236337,-0.022664016,-0.7300914,-0.59747857,-0.1652965,0.7492548,-0.5571248,-0.46695712,-0.30989212,-0.041170865,0.81247723,0.81375307,0.83076227,0.82185704,0.41891244,-0.7312793,-0.30919084,0.4363433,-0.3041231
